Start_Lat,Start_Lng,Distance(mi),Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Severity
39.742783,-84.182472,0.01,22.5,90.0,29.73,1.2,9.2,2
39.75452,-84.159279,0.01,22.5,90.0,29.73,1.2,9.2,2
39.749916,-84.139359,0.01,22.5,90.0,29.73,1.2,9.2,2
40.100903,-82.98410799999998,0.01,24.8,86.0,29.65,1.8,8.1,3
39.77280800000001,-84.201851,0.0,21.2,93.0,29.69,2.0,12.7,2
39.492484999999995,-84.131798,0.01,21.0,81.0,29.7,1.2,9.2,2
39.570904,-84.251724,0.01,21.0,81.0,29.7,1.2,9.2,2
39.834282,-82.74382,0.0,21.9,85.0,29.7,0.8,11.5,2
39.622787,-84.229858,0.01,21.0,81.0,29.7,1.2,9.2,3
39.429871,-84.079666,0.01,21.0,81.0,29.7,1.2,9.2,3
41.407391,-81.64676700000003,0.01,32.0,82.0,29.58,10.0,12.7,3
41.424404,-81.57867399999998,0.01,32.0,82.0,29.58,10.0,12.7,3
39.89217,-83.039169,0.01,21.2,93.0,29.69,5.0,11.5,3
41.022358,-83.650345,0.01,27.0,81.0,29.64,2.5,19.6,2
39.206806,-84.053253,0.0,16.2,81.0,29.95,5.0,9.2,2
39.973797,-83.022285,0.01,15.8,73.0,29.87,4.0,11.5,3
40.048008,-82.86421999999997,0.0,15.8,73.0,29.87,4.0,11.5,2
39.814526,-84.021744,0.01,15.4,82.0,29.95,7.0,13.8,2
40.151196,-84.22003199999997,0.01,14.0,93.0,29.89,7.0,15.0,3
39.954617,-82.844238,0.01,15.1,77.0,29.92,1.0,8.1,3
38.990551,-84.207497,0.01,15.8,88.0,29.96,1.8,6.9,2
40.008995,-83.002678,0.0,16.0,81.0,29.91,1.5,13.8,2
39.077332,-84.225014,0.0,15.8,84.0,29.97,4.0,11.5,2
39.955452,-82.795845,0.01,16.0,77.0,29.93,1.0,9.2,2
40.224585999999995,-82.929085,0.01,17.6,79.0,29.87,3.0,11.5,3
39.976398,-83.119225,0.01,15.8,79.0,29.91,1.5,10.4,3
39.98560300000001,-82.939247,0.01,17.1,77.0,29.96,1.5,13.8,3
41.040714,-81.61314399999998,0.01,19.9,81.0,29.89,1.0,10.4,3
41.083679,-81.579002,1.28,19.9,78.0,29.87,4.0,12.7,3
40.766890999999994,-82.42411,0.01,16.0,77.0,29.97,7.0,11.5,3
41.422199,-81.843018,0.01,14.0,56.0,30.14,9.0,11.5,3
41.063995,-81.57294499999998,0.01,14.0,74.0,30.03,4.0,10.4,3
39.747753,-84.20558199999998,0.01,7.0,87.0,30.22,10.0,8.1,2
38.99408,-84.142021,0.01,15.4,70.0,30.18,10.0,,2
41.420818,-81.694008,0.01,17.1,59.0,30.12,10.0,21.9,3
40.030342,-83.030197,0.01,6.1,83.0,30.22,10.0,8.1,2
39.858089,-82.827904,0.01,5.0,81.0,30.2,10.0,3.5,2
41.112324,-81.60992399999998,0.01,12.0,80.0,30.08,2.0,8.1,3
39.994061,-82.729416,0.01,7.0,77.0,30.24,10.0,,2
41.355396,-81.81926700000002,0.01,15.1,51.0,30.18,10.0,18.4,3
39.687389,-84.23796800000002,0.0,9.0,77.0,30.26,9.0,,2
39.751038,-84.214325,0.01,7.5,87.0,30.28,10.0,4.6,2
39.749916,-84.139359,0.01,7.5,87.0,30.28,10.0,4.6,2
39.97509,-82.88460500000002,0.01,12.0,70.0,30.27,9.0,5.8,2
40.11195,-83.016663,0.48,12.0,77.0,30.26,10.0,6.9,2
41.424313,-81.57914,0.01,18.0,54.0,30.16,10.0,25.3,3
39.691864,-84.211166,0.0,12.0,73.0,30.28,10.0,,2
39.769172999999995,-84.20728299999998,0.0,10.9,77.0,30.29,10.0,6.9,2
39.75452,-84.159279,0.01,13.6,74.0,30.32,10.0,3.5,2
39.874947,-83.003937,0.01,10.4,78.0,30.25,10.0,4.6,3
39.769596,-84.176964,0.01,13.6,74.0,30.32,10.0,3.5,2
39.776416999999995,-84.23026999999998,0.0,18.0,68.0,30.32,10.0,10.4,2
39.64185,-84.227455,0.0,18.0,54.0,30.31,10.0,6.9,2
39.76028400000001,-84.196434,0.01,18.5,62.0,30.32,10.0,9.2,2
39.802528,-84.220093,0.01,19.9,65.0,30.32,10.0,9.2,2
39.828781,-84.19839499999998,0.01,19.9,65.0,30.32,10.0,9.2,2
39.733337,-84.180359,0.01,21.6,49.0,30.3,10.0,6.9,2
39.759426,-84.138367,0.01,21.6,49.0,30.3,10.0,6.9,2
39.78361500000001,-84.227531,0.0,21.0,57.0,30.32,10.0,4.6,2
39.74004,-84.194923,0.01,21.0,57.0,30.33,10.0,8.1,2
39.735199,-84.204948,0.01,21.0,57.0,30.33,10.0,8.1,3
39.749035,-84.20474200000002,0.01,21.0,51.0,30.34,10.0,8.1,2
39.969223,-82.984131,0.01,19.0,57.0,30.34,9.0,,3
39.995369,-82.985085,0.01,17.1,62.0,30.35,10.0,3.5,3
39.744873,-84.205025,0.01,17.1,68.0,30.35,10.0,,3
39.749786,-84.199493,0.0,26.6,59.0,30.04,10.0,16.1,2
39.780331,-84.195076,0.01,25.5,66.0,30.11,7.0,16.1,2
40.109928,-82.97820300000002,1.67,23.0,80.0,30.03,3.0,12.7,3
40.11195,-83.016663,0.94,19.0,71.0,30.14,5.0,24.2,3
40.112156,-83.035072,0.94,19.0,71.0,30.14,5.0,24.2,3
39.871761,-82.933449,2.79,19.9,62.0,30.13,10.0,23.0,3
39.934517,-82.86065699999997,0.01,16.0,68.0,30.25,10.0,13.8,3
40.02404,-82.99479699999998,0.01,10.0,44.0,30.54,10.0,11.5,3
41.014015,-81.932777,0.01,8.1,61.0,30.48,10.0,13.8,3
40.575069,-82.528145,0.01,7.0,58.0,30.49,10.0,11.5,2
39.996578,-84.21680500000002,0.01,10.9,51.0,30.57,10.0,9.2,3
39.986324,-82.985458,0.01,12.9,43.0,30.53,10.0,16.1,3
40.013062,-82.90213,0.01,12.9,43.0,30.53,10.0,16.1,3
39.981709,-82.98436,0.01,10.0,70.0,30.52,10.0,5.8,3
39.953022,-82.99889399999998,0.01,12.9,65.0,30.5,10.0,10.4,3
39.973812,-82.983162,0.01,12.9,65.0,30.5,10.0,10.4,3
39.978306,-82.852554,0.01,15.8,79.0,30.24,0.5,10.4,3
39.917412,-83.014236,0.01,17.6,86.0,30.23,1.0,,3
39.469582,-83.712799,0.01,23.0,96.0,30.09,2.5,8.1,2
39.63958,-84.234818,0.01,23.0,92.0,29.97,1.5,8.1,2
39.975986,-82.996307,0.71,21.9,89.0,30.06,5.0,5.8,3
39.951401,-83.040161,0.01,22.8,96.0,30.02,3.0,8.1,3
39.96888,-83.022263,2.04,23.0,86.0,30.03,3.0,5.8,2
39.804295,-84.178917,0.01,23.0,96.0,30.03,0.2,5.8,3
39.831444,-84.097267,0.0,24.1,98.0,30.04,1.5,5.8,2
39.890587,-83.03538499999998,0.01,24.8,100.0,30.01,1.5,5.8,3
39.770977,-84.183914,0.01,24.8,100.0,30.04,1.5,2.3,3
39.808121,-84.173477,0.01,24.1,96.0,30.02,0.8,4.6,2
41.410461,-81.725853,0.0,21.0,85.0,30.1,4.0,11.5,2
39.747753,-84.20558199999998,0.01,24.1,96.0,30.02,0.8,4.6,3
39.6395,-84.23136099999998,0.01,26.1,92.0,30.01,4.0,8.1,3
39.94537,-82.88744399999999,0.01,24.1,91.0,30.06,1.0,5.8,2
39.79813,-84.24479699999998,0.01,25.0,96.0,29.99,0.8,6.9,2
40.081715,-82.89576,0.01,24.1,91.0,30.06,1.0,5.8,2
41.111031,-81.550728,0.0,23.0,85.0,30.03,2.0,5.8,2
40.082016,-82.937119,0.01,26.1,88.0,30.06,1.0,5.8,2
39.763363,-84.15535,0.0,27.0,98.0,30.04,2.5,3.5,2
39.740063,-84.191833,0.01,32.0,100.0,29.99,1.5,5.8,2
39.99876,-82.625221,0.01,32.0,85.0,29.99,5.0,8.1,2
39.740063,-84.191833,0.01,32.0,100.0,29.98,4.0,5.8,2
39.99519,-82.86859100000002,0.01,30.9,89.0,29.99,2.0,8.1,2
41.395805,-81.935562,0.0,33.1,82.0,29.95,7.0,5.8,1
39.887058,-82.883263,0.01,33.6,94.0,29.86,7.0,3.5,2
39.824703,-83.141228,0.01,32.9,100.0,29.86,1.8,,3
40.977515999999994,-82.790749,0.0,32.0,100.0,29.88,0.5,5.8,2
40.11195,-83.016663,0.01,32.0,100.0,29.71,1.2,8.1,3
41.150993,-81.631393,0.01,34.0,89.0,29.67,1.2,6.9,3
39.824703,-83.141228,0.01,32.2,100.0,29.7,3.0,6.9,3
39.885872,-82.806198,0.0,32.0,99.0,29.69,2.5,5.8,2
40.11195,-83.016663,0.01,33.1,96.0,29.71,5.0,8.1,3
40.09917100000001,-83.134499,0.01,33.1,96.0,29.71,5.0,8.1,3
40.012829,-83.109131,0.01,32.0,96.0,29.71,5.0,11.5,2
40.048183,-82.945183,0.01,32.0,92.0,29.71,2.0,10.4,2
39.77792,-84.246872,0.0,30.9,96.0,29.78,2.0,10.4,2
39.917412,-83.014236,1.65,32.2,100.0,29.69,4.0,6.9,3
41.313236,-81.810959,0.01,32.0,92.0,29.73,1.8,8.1,3
39.691998,-84.043655,0.01,32.0,88.0,29.76,3.0,8.1,2
39.852417,-82.93860600000002,0.01,32.0,99.0,29.7,7.0,8.1,2
39.956909,-83.044914,0.01,32.0,100.0,29.72,3.0,6.9,3
39.602947,-82.951836,0.01,32.0,99.0,29.71,7.0,10.4,2
39.89188400000001,-83.087547,0.01,32.0,100.0,29.72,3.0,6.9,2
39.78508400000001,-84.210564,0.01,30.0,100.0,29.75,2.0,10.4,2
40.1105,-82.977524,0.01,32.0,96.0,29.75,3.0,9.2,3
40.757088,-82.50975,0.01,30.0,100.0,29.73,5.0,10.4,2
41.063995,-81.57294499999998,0.01,34.0,89.0,29.68,1.8,6.9,3
40.004749,-82.867638,0.01,32.0,88.0,29.75,5.0,8.1,3
40.033955,-83.000862,0.01,32.0,96.0,29.75,3.0,9.2,2
38.929512,-83.495262,1.65,30.9,100.0,29.76,1.0,9.2,2
39.973419,-83.081558,0.01,32.0,100.0,29.77,2.5,3.5,3
39.797958,-84.255135,0.01,30.0,96.0,29.79,1.5,6.9,2
40.057369,-82.903717,0.01,32.0,88.0,29.78,4.0,8.1,3
39.847927,-82.848274,0.01,32.0,97.0,29.76,3.0,5.8,2
40.051949,-83.03280600000002,0.01,32.0,96.0,29.78,2.5,5.8,2
40.051949,-83.03280600000002,0.01,33.1,92.0,29.77,2.5,10.4,2
39.772822999999995,-84.135612,0.0,31.1,88.0,29.86,6.0,5.8,2
39.673203,-84.221886,0.01,30.9,76.0,29.81,6.0,9.2,2
39.76244000000001,-84.20506999999998,0.01,30.0,92.0,29.82,1.8,5.8,2
39.79166,-84.169342,0.0,31.1,88.0,29.86,6.0,5.8,2
39.72757,-84.13549,0.0,31.1,88.0,29.86,6.0,5.8,2
40.09917100000001,-83.134499,0.01,32.0,92.0,29.78,2.5,11.5,3
38.455898,-81.93562299999998,0.01,35.1,89.0,29.81,2.0,9.2,3
39.764778,-84.177193,0.01,32.4,79.0,29.81,10.0,8.1,2
40.016014,-82.903442,0.01,32.0,75.0,29.82,7.0,9.2,3
39.686901,-83.911812,0.01,30.4,90.0,30.08,10.0,3.5,2
39.74403,-84.214638,0.01,30.0,88.0,30.07,6.0,6.9,2
39.955738,-83.002953,0.01,28.4,80.0,30.05,7.0,6.9,2
38.98587,-84.052551,0.01,30.9,91.0,30.07,7.0,3.5,2
41.12336,-81.652626,0.01,28.0,81.0,30.03,7.0,5.8,2
41.403664,-82.13942,0.01,28.0,85.0,30.03,6.0,6.9,3
39.719009,-84.21461500000002,0.01,30.0,82.0,30.07,5.0,5.8,3
41.063995,-81.57294499999998,0.01,28.0,81.0,30.03,7.0,5.8,3
39.741764,-84.209923,0.0,30.0,92.0,30.14,3.0,8.1,2
39.933803999999995,-82.78944399999997,0.01,30.0,79.0,30.08,7.0,3.5,3
39.673203,-84.221886,0.01,30.0,85.0,30.12,3.0,4.6,2
38.997852,-84.043739,1.73,31.1,92.0,30.11,7.0,6.9,2
40.080402,-82.87745699999998,0.01,30.2,75.0,30.08,5.0,6.9,2
41.04023,-81.608711,0.01,28.0,81.0,30.06,6.0,4.6,3
39.749664,-84.201012,0.0,30.7,90.0,30.14,4.0,5.8,2
39.749916,-84.139359,0.01,30.7,90.0,30.14,4.0,5.8,2
41.039204,-81.631744,0.01,28.4,80.0,30.02,6.0,6.9,3
40.993484,-82.03600300000002,0.0,27.0,85.0,30.08,4.0,9.2,2
41.407391,-81.64676700000003,0.01,30.0,82.0,30.05,6.0,10.4,3
39.732440999999994,-84.224243,0.01,30.0,96.0,30.18,2.5,8.1,2
39.773193,-84.187454,0.01,31.1,92.0,30.18,6.0,5.8,3
39.792931,-84.215195,0.01,32.0,88.0,30.2,4.0,5.8,2
39.948299,-82.047081,0.01,33.1,72.0,30.16,5.0,5.8,3
39.67263,-84.216522,0.0,32.0,82.0,30.18,4.0,5.8,2
41.172302,-83.64917,0.01,33.1,82.0,30.14,3.0,12.7,2
39.615208,-84.22731800000003,0.01,35.1,67.0,30.23,9.0,3.5,2
39.790603999999995,-84.25140400000002,0.01,36.0,59.0,30.23,10.0,10.4,2
39.968788,-83.003754,0.0,35.1,61.0,30.26,9.0,12.7,2
39.905334,-82.968689,0.01,31.1,69.0,30.39,10.0,3.5,2
39.855103,-84.183678,0.01,27.0,81.0,30.45,7.0,,2
41.414131,-81.632141,0.01,19.0,71.0,30.52,10.0,5.8,2
39.933803999999995,-82.78944399999997,0.01,28.0,78.0,30.48,9.0,5.8,3
41.063995,-81.57294499999998,0.01,3.9,91.0,30.49,1.8,,3
39.75782,-83.303154,0.01,23.0,86.0,30.48,7.0,,3
41.42181,-81.734482,0.01,12.9,88.0,30.58,8.0,3.5,3
41.422199,-81.843018,0.01,12.9,88.0,30.58,8.0,3.5,3
39.819839,-84.189087,0.01,26.1,81.0,30.5,5.0,,3
39.745735,-84.120644,0.01,25.9,86.0,30.5,10.0,,2
40.004749,-82.867638,0.01,27.0,75.0,30.51,7.0,3.5,3
39.626396,-84.20768699999998,0.01,27.0,78.0,30.48,5.0,3.5,2
39.761005,-84.15855400000002,0.01,25.9,86.0,30.5,10.0,,2
39.765377,-84.155914,0.0,25.9,86.0,30.5,10.0,,2
39.936871,-82.936317,0.01,27.0,75.0,30.51,7.0,3.5,3
41.420666,-81.81644399999998,0.01,16.0,81.0,30.62,10.0,6.9,3
39.607605,-84.15598299999998,0.0,28.9,75.0,30.5,6.0,,2
39.819809,-84.18710300000002,0.0,30.9,79.0,30.51,5.0,3.5,2
41.371895,-81.820786,0.01,16.0,81.0,30.62,10.0,6.9,3
39.999187,-83.075813,0.01,27.0,85.0,30.53,8.0,6.9,2
39.741695,-84.163101,0.0,30.4,82.0,30.52,10.0,,2
39.917412,-83.014236,0.01,26.6,80.0,30.5,7.0,,3
41.423275,-81.76001,0.01,16.0,81.0,30.62,10.0,6.9,2
39.993843,-82.985054,0.01,30.0,72.0,30.53,7.0,6.9,3
41.36974,-81.821457,0.01,21.9,63.0,30.62,10.0,8.1,3
41.420506,-81.816078,0.01,21.9,63.0,30.62,10.0,8.1,3
41.407391,-81.64676700000003,0.01,24.1,62.0,30.59,10.0,5.8,3
39.869961,-84.137642,0.01,30.4,82.0,30.52,10.0,,2
39.75782,-83.303154,0.01,32.0,75.0,30.51,7.0,5.8,3
39.84182,-84.18960600000003,0.01,39.0,60.0,30.53,9.0,8.1,3
39.695045,-84.10419499999998,0.0,37.9,57.0,30.47,10.0,9.2,2
39.754223,-84.224075,0.01,39.9,53.0,30.45,10.0,10.4,2
39.759544,-84.191811,0.01,39.9,53.0,30.45,10.0,10.4,2
39.755565999999995,-84.180534,0.01,39.9,53.0,30.45,10.0,10.4,2
39.960938,-84.189583,0.01,37.9,60.0,30.41,10.0,18.4,3
39.609039,-84.155869,0.0,37.9,55.0,30.41,10.0,16.1,2
39.953472,-82.960274,0.01,35.1,57.0,30.47,9.0,6.9,3
40.106297,-83.036079,0.01,36.0,59.0,30.43,10.0,10.4,2
39.812687,-84.22734799999998,0.01,39.9,63.0,30.13,10.0,18.4,2
39.724258,-84.213142,0.01,39.9,60.0,30.12,10.0,11.5,2
39.929554,-82.995773,0.01,35.4,68.0,30.18,10.0,9.2,2
39.976398,-83.119225,0.01,34.9,70.0,30.16,10.0,10.4,3
39.915928,-82.98246800000003,0.01,35.4,68.0,30.15,10.0,6.9,2
39.009884,-84.173073,0.01,43.5,57.0,30.11,10.0,12.7,2
39.737701,-84.134987,0.0,41.0,61.0,30.1,10.0,10.4,2
39.974284999999995,-82.961174,0.0,36.0,57.0,30.16,10.0,12.7,2
40.152611,-82.686996,0.01,37.0,57.0,30.15,10.0,12.7,2
39.786629,-84.18869000000002,0.01,42.8,60.0,30.08,10.0,10.4,2
40.016937,-83.156601,0.01,37.0,62.0,30.12,10.0,11.5,2
40.003746,-83.15389300000002,0.01,37.0,62.0,30.12,10.0,11.5,2
39.736061,-84.093002,0.01,42.8,60.0,30.08,10.0,10.4,3
41.375961,-83.647453,0.0,43.0,53.0,29.98,10.0,19.6,2
39.953648,-82.960373,0.01,37.0,57.0,30.15,10.0,12.7,3
39.767757,-84.231712,0.0,47.7,52.0,30.06,10.0,17.3,2
39.800312,-84.218811,0.0,48.0,52.0,30.03,10.0,27.6,2
39.754055,-84.17588,0.01,47.7,52.0,30.06,10.0,17.3,2
39.712257,-84.201782,0.0,49.6,50.0,30.03,10.0,23.0,2
39.759201,-84.149101,0.0,53.8,45.0,29.97,10.0,25.3,2
39.759471999999995,-84.243698,0.0,57.0,44.0,29.91,10.0,27.6,2
39.797668,-84.217506,0.01,57.0,44.0,29.91,10.0,27.6,2
39.763664,-84.193298,0.01,59.4,37.0,29.93,10.0,29.9,2
39.758121,-84.191414,0.01,59.4,37.0,29.93,10.0,29.9,2
40.266499,-82.927544,0.01,46.4,57.0,29.95,10.0,18.4,3
40.099384,-83.155396,0.01,57.0,47.0,29.81,10.0,21.9,2
39.981926,-83.046265,0.01,57.0,47.0,29.81,10.0,21.9,2
39.786633,-84.170837,0.01,65.1,34.0,29.79,10.0,24.2,2
39.765259,-84.13780200000002,0.01,65.1,34.0,29.79,10.0,24.2,2
40.10564,-82.949692,1.28,57.0,49.0,29.82,10.0,15.0,3
39.762531,-84.1427,0.01,29.5,94.0,30.14,10.0,5.8,2
41.428753,-83.61036700000002,0.0,28.0,85.0,30.21,10.0,5.8,2
39.985336,-82.78984100000002,0.01,30.9,82.0,30.16,10.0,3.5,2
39.955517,-82.87687700000002,0.01,30.9,82.0,30.16,10.0,3.5,2
39.858089,-82.827904,0.01,32.0,91.0,30.15,10.0,5.8,2
39.763615,-84.142586,0.0,28.4,93.0,30.17,10.0,2.3,2
39.933803999999995,-82.78944399999997,0.01,33.1,85.0,30.17,10.0,6.9,3
40.136345,-83.00573,0.01,28.9,96.0,30.18,10.0,3.5,2
39.765159999999995,-84.157234,0.01,27.9,97.0,30.18,10.0,3.5,2
39.772438,-84.14218100000002,0.0,27.9,97.0,30.18,10.0,3.5,2
39.981968,-83.008698,0.0,32.0,82.0,30.17,10.0,,2
39.232101,-84.16014100000002,0.01,32.5,94.0,30.14,10.0,4.6,2
40.061661,-82.99807,0.01,28.9,96.0,30.18,10.0,3.5,3
40.082397,-82.906921,0.01,35.1,76.0,30.17,10.0,5.8,3
39.317173,-84.220894,0.01,36.0,79.0,30.17,10.0,3.5,2
39.690781,-84.205147,0.0,34.0,79.0,30.16,10.0,9.2,2
39.803726,-84.18514300000002,0.0,33.1,89.0,30.18,10.0,6.9,2
39.838778999999995,-84.25831600000002,0.01,36.0,82.0,30.18,10.0,8.1,2
39.76144,-84.167038,0.0,37.0,77.0,30.18,10.0,5.8,2
39.740906,-84.182121,0.01,37.0,77.0,30.18,10.0,5.8,2
39.81963,-84.198273,0.01,36.0,82.0,30.18,10.0,8.1,2
39.79969000000001,-84.186996,0.0,41.0,62.0,30.17,10.0,11.5,2
39.72364,-84.1418,0.01,42.8,57.0,30.13,10.0,8.1,2
39.754055,-84.13889300000002,0.01,42.8,57.0,30.13,10.0,8.1,2
39.831996999999994,-84.223694,0.01,43.0,53.0,30.16,10.0,6.9,2
41.403744,-82.282776,0.01,41.0,62.0,30.18,10.0,11.5,2
39.754055,-84.17588,0.01,48.7,47.0,30.1,10.0,6.9,2
39.630444,-84.19626600000002,0.0,48.0,50.0,30.06,10.0,5.8,2
39.801601,-84.194542,0.01,46.9,52.0,30.09,10.0,9.2,2
39.752647,-84.189774,0.01,47.5,49.0,30.09,10.0,11.5,2
39.933803999999995,-82.78944399999997,0.01,30.9,72.0,30.07,10.0,3.5,3
39.571163,-84.202606,0.0,30.0,69.0,30.02,10.0,10.4,2
39.17505300000001,-84.236313,0.01,31.8,79.0,30.0,10.0,3.5,2
39.977321999999994,-83.02109499999997,0.01,28.9,69.0,30.07,10.0,6.9,2
39.175728,-84.180763,0.01,32.0,79.0,29.98,10.0,5.8,2
39.68865200000001,-84.127998,0.01,30.9,67.0,30.01,10.0,10.4,2
39.628288,-84.226151,0.01,30.9,67.0,30.01,10.0,10.4,2
39.96764,-83.06081400000002,0.01,33.8,65.0,30.01,10.0,8.1,3
39.797958,-84.255135,0.01,35.1,61.0,30.09,10.0,9.2,2
39.783669,-84.155045,0.01,38.3,53.0,30.08,10.0,11.5,2
39.989044,-83.049088,0.01,39.9,55.0,30.09,10.0,8.1,2
39.819721,-84.191528,0.01,39.0,55.0,30.08,10.0,15.0,2
39.783089,-84.188911,0.01,48.4,46.0,30.04,10.0,8.1,2
39.590527,-84.17076899999998,0.01,54.0,51.0,29.95,10.0,11.5,2
41.40274,-81.817856,0.01,36.0,70.0,30.07,10.0,15.0,3
40.039909,-82.99683399999998,0.01,53.1,52.0,29.92,10.0,8.1,3
39.972336,-82.983917,0.01,53.1,52.0,29.92,10.0,8.1,3
40.00164,-82.923073,0.01,53.1,52.0,29.92,10.0,8.1,3
39.902088,-82.898178,0.01,50.0,64.0,29.88,10.0,8.1,3
39.833824,-83.100853,0.01,44.6,73.0,29.84,10.0,9.2,3
39.713467,-84.216095,0.01,41.0,93.0,29.43,4.0,20.7,2
39.640202,-84.235283,0.01,42.1,89.0,29.4,3.0,17.3,2
39.733723,-84.204971,0.01,37.9,100.0,29.46,2.5,21.9,3
41.351006,-83.622826,0.01,33.1,85.0,29.72,3.0,15.0,3
39.845287,-83.993217,0.01,39.2,100.0,29.45,6.0,18.4,3
39.607788,-84.228088,0.01,42.1,92.0,29.37,4.0,13.8,2
39.873238,-84.13720699999998,0.01,40.6,99.0,29.4,9.0,9.2,2
40.058132,-82.922752,0.01,42.8,87.0,29.47,9.0,8.1,2
41.420975,-81.689758,0.01,33.8,100.0,29.66,2.5,15.0,3
39.788414,-84.183693,0.94,40.6,99.0,29.4,9.0,9.2,3
39.836643,-84.060753,0.01,40.6,99.0,29.4,9.0,9.2,2
41.039829,-81.662872,0.01,39.9,86.0,29.59,4.0,12.7,2
38.581139,-82.00456199999998,0.01,49.0,100.0,28.62,10.0,10.0,2
39.754055,-84.17588,0.01,40.6,99.0,29.4,9.0,9.2,2
39.929844,-83.116486,0.01,42.8,100.0,29.42,5.0,9.2,2
39.962146999999995,-83.092667,0.01,42.8,100.0,29.42,5.0,9.2,2
